run	solution_id	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
20	355	525	120.106653	0.167733	[311.60,250.00,220.00,449.50,525.00,496.80]	[0,0,0,3,3,3,3,3,3,0,1,1,3,2,0,2,3,1,4,4,4,5,5,5]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	356	525	113.432424	0.167885	[355.40,254.20,220.00,404.50,525.00,496.80]	[0,0,1,1,3,3,3,3,3,0,0,1,3,2,0,2,3,1,4,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	357	525	129.979174	0.165089	[354.50,266.20,160.00,449.50,525.00,496.80]	[0,0,1,3,3,3,3,3,3,0,0,1,3,1,0,2,3,1,4,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	358	549.5	188.172106	0.162803	[549.50,70.00,160.00,448.60,525.00,496.80]	[0,0,0,3,3,3,3,3,3,0,0,0,3,0,0,2,3,1,4,4,4,5,5,5]	[0,0,1,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	359	496.8	87.411625	0.180119	[309.50,401.80,232.70,450.00,363.60,496.80]	[0,0,0,1,1,2,4,4,4,0,1,1,4,1,0,2,2,1,3,4,4,5,5,5]	[0,1,0,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	360	525	96.749856	0.175357	[294.20,327.40,290.10,321.80,525.00,496.80]	[0,0,1,2,2,2,3,3,3,0,0,1,3,1,1,2,3,1,4,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	361	496.8	78.681137	0.181716	[319.50,286.80,303.60,450.00,402.20,496.80]	[0,0,0,1,2,4,4,4,4,0,1,1,4,2,1,2,2,0,3,4,4,5,5,5]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	362	525	121.140833	0.166956	[321.00,220.00,240.00,449.50,525.00,496.80]	[0,0,0,3,3,3,3,3,3,0,1,2,3,1,1,2,3,0,4,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	363	525	133.763244	0.163719	[379.50,240.00,160.00,449.50,525.00,496.80]	[0,0,0,3,3,3,3,3,3,0,1,1,3,0,1,2,3,0,4,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	364	496.8	91.729429	0.176838	[319.20,288.60,266.80,486.80,404.90,496.80]	[0,0,0,1,2,4,4,4,4,0,1,1,4,2,1,2,3,0,3,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	365	525	97.834306	0.173826	[292.70,341.30,276.80,324.50,525.00,496.80]	[0,0,1,1,1,3,3,3,3,0,0,2,3,1,1,2,2,1,4,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	366	496.8	84.026631	0.180494	[318.30,348.60,243.60,450.00,402.20,496.80]	[0,0,0,1,2,4,4,4,4,0,1,1,4,1,1,2,2,0,3,4,4,5,5,5]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	367	525	110.400369	0.169798	[355.40,314.50,196.80,371.60,525.00,496.80]	[0,0,1,1,3,3,3,3,3,0,0,1,3,1,0,2,2,1,4,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
