run	idx_in_front	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
18	1	486.2	123.886028	0.172669	[478.00,212.70,428.00,191.80,455.00,486.20]	[3,2,0,0,3,5,3,2,1,1,2,0,0,0,2,0,3,1,5,2,4,4,0,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	2	486.8	81.184187	0.181631	[291.30,361.60,263.60,455.00,486.80,408.10]	[2,0,1,0,2,5,1,5,1,1,1,0,0,5,0,2,4,5,4,5,3,3,1,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	3	486.8	87.527228	0.171522	[360.10,251.00,293.30,388.60,480.00,486.80]	[3,0,2,3,1,1,0,0,2,1,3,3,3,1,4,2,5,3,5,2,1,4,0,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	4	490	126.904369	0.171001	[440.70,120.00,456.80,436.00,490.00,314.50]	[3,0,3,0,5,5,3,0,2,0,3,1,5,0,3,5,0,3,4,1,3,2,4,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	5	526.8	129.468534	0.165826	[479.00,249.80,420.00,526.80,428.10,160.00]	[0,1,1,4,0,1,1,4,0,4,0,0,0,0,0,5,3,4,3,3,1,2,4,4]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	6	538.6	119.222319	0.171521	[375.40,501.80,182.40,361.30,303.00,538.60]	[0,3,2,1,5,4,2,4,3,4,3,0,0,3,3,0,3,2,5,0,1,1,5,4]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	7	549.5	123.695708	0.171125	[415.40,415.40,196.20,231.80,549.50,450.00]	[3,2,4,1,0,4,1,0,1,2,0,3,3,2,3,1,0,0,5,1,1,4,1,4]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	8	583.6	117.558633	0.170139	[583.60,386.80,330.10,292.50,217.40,450.00]	[3,4,3,3,0,3,1,2,1,2,1,4,3,3,2,1,2,4,5,0,1,0,0,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	9	586.8	126.690695	0.16898	[347.50,420.00,586.80,417.20,329.20,163.30]	[2,5,0,0,3,0,3,4,5,4,0,2,3,4,5,3,3,0,2,3,4,1,3,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	10	634.2	162.982969	0.164009	[634.20,305.10,420.00,463.60,332.40,100.00]	[3,1,0,3,1,1,0,3,0,4,5,1,1,3,4,4,3,3,0,4,0,2,1,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	11	1136.2	384.610962	0.161622	[1136.20,256.80,116.80,593.40,96.80,55.00]	[3,0,5,3,2,4,3,1,3,3,3,3,3,1,4,0,1,2,0,0,3,0,3,3]	[0,1,1,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
19	1	456.8	97.03038	0.167891	[340.40,451.60,450.00,381.30,182.40,456.80]	[1,4,3,3,0,4,1,1,1,1,3,3,0,0,3,0,3,1,2,4,0,5,4,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
19	2	506.2	81.996619	0.181794	[475.00,338.60,506.20,323.60,314.20,301.00]	[3,5,2,3,5,5,0,1,5,4,1,5,4,4,3,3,1,4,2,4,4,0,1,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
19	3	525.4	148.915297	0.165473	[245.40,525.40,115.00,439.00,420.00,516.20]	[3,5,1,0,3,1,2,1,3,1,0,3,3,2,0,1,0,3,5,3,3,4,1,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
19	4	564.2	177.492297	0.164002	[564.20,254.20,456.80,381.00,546.80,55.00]	[5,3,1,1,3,3,3,0,2,0,0,1,0,3,4,0,4,1,4,3,0,2,3,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
19	5	801.9	297.272907	0.161967	[780.40,208.00,160.00,801.90,80.00,225.00]	[1,3,1,0,3,1,5,0,3,3,5,4,0,1,3,2,3,5,3,0,3,0,0,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
19	6	811.9	269.351806	0.163846	[811.90,160.00,550.00,521.30,80.00,131.80]	[0,3,3,3,3,0,0,1,5,0,0,4,3,2,5,3,3,0,2,2,5,0,3,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	1	485	122.080362	0.181355	[173.00,475.70,480.00,485.00,391.80,252.20]	[5,1,0,0,1,1,1,4,5,0,1,5,5,1,2,4,4,1,3,5,3,2,1,4]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	2	493.6	101.370417	0.187205	[218.30,493.60,353.00,450.00,278.60,462.40]	[0,2,5,2,2,0,0,2,1,5,5,4,1,4,4,5,4,0,3,4,5,1,5,2]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	3	496.8	126.168956	0.174956	[323.10,450.40,132.70,491.20,496.80,365.00]	[1,0,2,0,4,0,5,1,0,3,1,5,2,0,1,5,1,5,4,0,1,3,2,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	4	502.7	124.491719	0.178512	[401.80,435.40,151.80,275.00,486.80,502.70]	[0,1,1,5,0,5,3,0,2,0,1,2,1,1,3,3,1,0,4,1,2,5,1,4]	[0,0,0,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	5	506.8	82.986232	0.175877	[301.00,420.00,344.50,261.80,427.20,506.80]	[5,2,0,2,3,2,3,2,4,0,3,4,2,0,3,4,4,4,5,4,0,1,0,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	6	508.6	118.520862	0.174891	[300.10,490.00,276.80,208.00,475.40,508.60]	[2,3,0,4,5,0,4,4,3,3,0,4,0,4,2,2,4,0,1,1,4,5,5,3]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	7	513.6	161.216104	0.170814	[456.20,513.60,485.00,496.60,198.00,106.80]	[3,3,4,4,3,0,1,3,1,3,1,1,3,3,4,1,4,5,2,1,2,0,1,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	8	518.6	133.869721	0.173115	[518.60,469.00,181.80,442.20,450.00,200.00]	[1,1,1,2,3,1,3,3,2,1,2,3,1,0,3,5,1,1,4,5,3,0,1,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	9	526.8	101.965932	0.172772	[398.30,301.90,526.80,291.30,486.80,256.80]	[3,0,3,2,0,1,0,0,4,1,3,1,1,2,5,5,5,0,4,1,1,2,3,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
20	10	529.8	149.435412	0.168541	[354.80,521.20,529.80,489.60,160.00,205.00]	[0,3,0,0,3,2,5,0,3,1,3,5,2,3,3,4,2,5,1,3,0,2,3,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
