run	idx_in_front	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
12	13	564.2	181.15848	0.17173	[564.20,546.80,136.80,547.70,271.00,190.00]	[1,4,3,3,4,0,3,3,1,3,2,5,0,4,4,3,2,5,0,0,4,1,5,1]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	14	522.7	143.82316	0.176088	[522.70,511.80,255.40,520.40,269.80,182.40]	[1,4,3,3,4,0,3,3,2,5,2,2,0,4,4,3,2,5,0,3,4,1,5,1]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	15	522.7	146.384202	0.174877	[522.70,511.80,173.60,516.80,311.00,222.40]	[1,4,3,3,4,0,3,3,2,5,2,5,0,4,4,3,2,5,0,3,4,1,4,1]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	16	523	115.617108	0.180804	[523.00,476.80,253.60,473.60,271.00,262.40]	[1,4,3,2,4,0,3,3,2,5,2,5,0,4,4,3,2,5,0,3,4,1,5,2]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	17	516.8	117.957088	0.180405	[486.80,476.80,244.50,516.80,271.00,262.40]	[1,4,3,3,4,2,3,3,2,5,2,5,0,4,4,3,2,5,0,3,4,1,5,2]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	18	548.6	155.598047	0.174521	[523.00,548.60,218.60,518.60,269.80,182.40]	[1,4,3,3,4,0,3,3,1,5,2,2,0,4,4,3,2,5,0,3,4,1,5,1]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	19	546.8	158.988851	0.174521	[522.70,546.80,136.80,516.80,271.00,262.40]	[1,4,3,3,4,0,3,3,1,5,2,5,0,4,4,3,2,5,0,3,4,1,5,1]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
12	20	563	185.355554	0.170519	[563.00,546.80,136.80,547.70,311.00,150.00]	[1,4,3,3,4,0,3,3,1,3,2,5,0,4,4,3,2,5,0,0,4,1,4,1]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	1	551.8	138.895856	0.166452	[551.80,271.00,450.00,421.80,433.00,125.00]	[3,4,1,4,3,1,5,4,0,3,1,3,0,0,3,4,1,5,2,3,3,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	2	551.8	143.198204	0.16506	[551.80,271.00,450.00,488.00,366.80,125.00]	[3,3,1,4,3,1,5,4,0,3,1,3,0,0,3,4,1,5,2,3,3,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	3	450	45.032078	0.17804	[420.00,327.80,450.00,337.20,346.30,383.60]	[1,4,1,4,3,1,5,5,5,3,1,3,4,5,3,4,1,5,2,3,4,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	4	450	44.92217	0.179005	[420.00,328.40,450.00,337.20,346.30,383.60]	[1,4,1,4,3,1,5,5,5,3,1,3,4,5,3,4,1,5,2,3,4,0,1,3]	[0,1,1,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	5	551.8	126.843403	0.166713	[551.80,271.00,450.00,488.00,206.80,286.80]	[3,3,1,4,3,1,5,5,0,3,1,3,0,0,3,4,1,5,2,3,3,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	6	516.8	91.911219	0.169673	[516.80,271.00,450.00,421.80,308.00,288.60]	[3,4,1,4,3,1,5,5,0,3,1,3,4,0,3,4,1,5,2,3,3,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	7	493.6	109.737181	0.169156	[493.60,271.00,450.00,488.00,206.80,348.60]	[3,3,1,4,3,1,5,5,0,3,1,3,0,5,3,4,1,5,2,3,3,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	8	468	108.06661	0.170463	[456.80,271.00,450.00,421.80,468.00,185.00]	[3,4,1,4,3,1,5,4,0,3,1,3,4,5,3,4,1,5,2,3,3,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	9	488	95.161296	0.170724	[456.80,271.00,450.00,488.00,241.80,348.60]	[3,3,1,4,3,1,5,5,0,3,1,3,4,5,3,4,1,5,2,3,3,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	10	516.8	99.534557	0.169489	[516.80,270.70,450.00,453.00,278.60,288.60]	[3,3,1,4,3,1,5,5,0,3,1,3,4,0,3,4,1,5,2,3,4,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	11	456.8	71.21118	0.172116	[456.80,271.00,450.00,423.60,309.80,348.60]	[3,4,1,4,3,1,5,5,0,3,1,3,4,5,3,4,1,5,2,3,3,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	12	491.8	114.759425	0.167503	[491.80,271.00,450.00,488.00,366.80,185.00]	[3,3,1,4,3,1,5,4,0,3,1,3,0,5,3,4,1,5,2,3,3,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	13	456.8	54.205978	0.174906	[456.80,326.00,450.00,337.20,346.30,348.60]	[1,4,1,4,3,1,5,5,0,3,1,3,4,5,3,4,1,5,2,3,4,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	14	450	57.01455	0.176459	[420.00,271.00,450.00,386.80,346.60,385.40]	[3,4,1,4,3,1,5,5,5,3,1,3,4,5,3,4,1,5,2,3,4,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	15	456.8	64.237831	0.173324	[456.80,271.00,450.00,386.80,346.60,348.60]	[3,4,1,4,3,1,5,5,0,3,1,3,4,5,3,4,1,5,2,3,4,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	16	491.8	76.550434	0.171757	[491.80,271.00,450.00,386.80,309.80,348.60]	[3,4,1,4,3,1,5,5,0,3,1,3,0,5,3,4,1,5,2,3,4,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	17	450	48.695984	0.176832	[420.00,327.80,450.00,368.60,309.80,383.60]	[1,4,1,4,3,1,5,5,5,3,1,3,4,5,3,4,1,5,2,3,3,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	18	551.8	106.263849	0.168105	[551.80,271.00,450.00,421.80,273.00,288.60]	[3,4,1,4,3,1,5,5,0,3,1,3,0,0,3,4,1,5,2,3,3,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	19	450	64.867806	0.175251	[420.00,271.00,450.00,421.80,308.00,385.40]	[3,4,1,4,3,1,5,5,5,3,1,3,4,5,3,4,1,5,2,3,3,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
13	20	491.8	85.017678	0.170549	[491.80,271.00,450.00,421.80,273.00,348.60]	[3,4,1,4,3,1,5,5,0,3,1,3,0,5,3,4,1,5,2,3,3,0,1,3]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	1	521.8	97.062689	0.179779	[302.20,486.80,381.20,310.40,521.80,261.00]	[0,2,4,0,4,5,5,3,1,5,0,2,5,0,5,2,3,3,1,2,2,4,3,0]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	2	576.8	147.126461	0.174443	[360.40,576.80,222.40,406.80,521.80,167.40]	[0,2,4,0,4,5,1,3,1,5,3,2,1,0,5,0,3,3,1,2,2,4,3,0]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	3	521.8	122.795191	0.175662	[362.20,521.80,222.40,406.80,521.80,223.60]	[0,2,4,0,4,5,5,3,1,5,3,2,1,0,5,0,3,3,1,2,2,4,3,0]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	4	561.8	140.291858	0.174451	[362.20,561.80,181.20,406.80,521.80,223.60]	[0,2,4,0,4,5,5,3,1,5,3,2,1,0,5,0,3,3,1,1,2,4,3,0]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	5	521.8	109.153679	0.17723	[362.20,486.80,222.40,406.80,521.80,261.00]	[0,2,4,0,4,5,5,3,1,5,3,2,5,0,5,0,3,3,1,2,2,4,3,0]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
