run	idx_in_front	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
14	8	566.8	143.244621	0.169299	[499.20,126.80,566.80,293.30,350.40,420.00]	[1,0,3,0,2,0,4,3,4,0,0,0,1,4,0,4,3,2,2,3,1,5,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	9	552.7	133.059891	0.16935	[498.00,288.60,176.80,552.70,290.40,450.00]	[1,0,3,0,2,0,4,1,4,0,0,0,1,2,0,4,3,2,5,3,1,3,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	10	456.8	96.43489	0.173539	[428.00,400.10,176.80,456.80,347.20,450.00]	[4,0,1,0,2,0,4,1,4,1,0,0,1,2,0,4,3,2,5,1,1,3,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	11	496.8	87.576436	0.17475	[388.00,361.60,218.60,496.80,347.20,450.00]	[4,0,1,0,2,0,4,1,4,1,0,0,1,2,0,4,3,2,5,3,1,3,2,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	12	498	131.507904	0.169514	[498.00,344.80,116.80,496.80,350.40,450.00]	[1,0,1,0,2,0,4,1,4,0,0,0,1,4,0,4,3,2,5,3,1,3,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	13	512.7	121.19775	0.170561	[498.00,330.40,176.80,512.70,290.40,450.00]	[1,0,3,0,2,0,4,1,4,0,0,0,1,2,0,4,3,2,5,1,1,3,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	14	498	117.581779	0.170736	[498.00,344.50,176.80,496.80,290.40,450.00]	[1,0,1,0,2,0,4,1,4,0,0,0,1,2,0,4,3,2,5,3,1,3,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	15	496.8	102.864679	0.172327	[428.00,361.60,176.80,496.80,347.20,450.00]	[4,0,1,0,2,0,4,1,4,1,0,0,1,2,0,4,3,2,5,3,1,3,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	16	496.8	123.231296	0.171106	[429.80,361.60,116.80,496.80,403.60,450.00]	[4,0,1,0,2,0,4,1,4,1,0,0,1,4,0,4,3,2,5,3,1,3,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	17	512.7	116.104528	0.171761	[458.00,330.40,158.60,512.70,350.40,450.00]	[1,0,3,0,2,0,4,1,4,0,0,0,1,4,0,4,3,2,5,1,1,3,2,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	18	458	105.449932	0.173148	[458.00,384.50,158.60,456.80,350.40,450.00]	[1,0,1,0,2,0,4,1,4,0,0,0,1,4,0,4,3,2,5,1,1,3,2,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	19	512.7	134.762364	0.169339	[498.00,330.40,116.80,512.70,350.40,450.00]	[1,0,3,0,2,0,4,1,4,0,0,0,1,4,0,4,3,2,5,1,1,3,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	20	498	125.720489	0.170725	[498.00,386.30,116.80,456.80,350.40,450.00]	[1,0,1,0,2,0,4,1,4,0,0,0,1,4,0,4,3,2,5,1,1,3,0,4]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	1	524.5	144.263421	0.16933	[501.80,524.50,95.00,331.60,351.80,450.00]	[4,1,3,0,1,3,4,1,3,3,1,4,3,2,3,4,3,1,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	2	501.8	121.363152	0.170904	[501.80,477.70,143.60,329.80,351.80,450.00]	[4,1,3,0,2,3,4,1,3,3,1,4,3,2,3,4,3,1,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	3	571.8	148.244667	0.168103	[571.80,456.30,95.00,329.80,353.60,450.00]	[4,1,3,0,1,3,4,1,3,3,1,4,3,2,3,4,3,0,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	4	571.8	135.790705	0.168444	[571.80,409.20,143.60,411.00,273.60,450.00]	[4,1,3,0,2,3,4,1,3,3,1,3,3,2,3,4,3,0,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	5	501.8	102.628625	0.177536	[501.80,477.70,237.20,286.60,310.40,450.00]	[4,1,2,0,2,2,4,1,4,3,1,3,3,2,3,4,3,1,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	6	501.8	107.656962	0.174401	[501.80,477.70,200.40,323.40,310.40,450.00]	[4,1,2,0,2,3,4,1,4,3,1,3,3,2,3,4,3,1,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	7	571.8	178.413213	0.165649	[571.80,514.50,35.00,411.00,273.60,450.00]	[4,1,3,0,1,3,4,1,3,3,1,3,3,1,3,4,3,0,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
